"Year" "Country" "Freq"
"619" "1999" "Colombia" 116
"620" "2000" "Colombia" 137
"621" "2001" "Colombia" 207
"622" "2002" "Colombia" 150
"623" "2003" "Colombia" 98
"624" "2004" "Colombia" 37
"625" "2005" "Colombia" 42
"626" "2006" "Colombia" 43
"627" "2007" "Colombia" 30
"628" "2008" "Colombia" 133
"629" "2009" "Colombia" 139
"630" "2010" "Colombia" 136
"631" "1992" "Comoros" 1
"632" "1994" "Comoros" 1
"633" "1995" "Comoros" 0
"634" "1996" "Comoros" 0
"635" "1997" "Comoros" 3
"636" "1998" "Comoros" 0
"637" "1999" "Comoros" 0
"638" "2000" "Comoros" 0
"639" "2001" "Comoros" 0
"640" "2002" "Comoros" 0
"641" "2003" "Comoros" 0
"642" "2004" "Comoros" 0
"643" "2005" "Comoros" 0
"644" "2006" "Comoros" 0
"645" "2007" "Comoros" 0
"646" "2008" "Comoros" 0
"647" "2009" "Comoros" 0
"648" "2010" "Comoros" 0
"649" "1992" "Costa Rica" 2
"650" "1994" "Costa Rica" 1
"651" "1995" "Costa Rica" 0
"652" "1996" "Costa Rica" 1
"653" "1997" "Costa Rica" 1
"654" "1998" "Costa Rica" 0
"655" "1999" "Costa Rica" 0
"656" "2000" "Costa Rica" 0
"657" "2001" "Costa Rica" 1
"658" "2002" "Costa Rica" 0
"659" "2003" "Costa Rica" 0
"660" "2004" "Costa Rica" 0
"661" "2005" "Costa Rica" 0
"662" "2006" "Costa Rica" 0
"663" "2007" "Costa Rica" 0
"664" "2008" "Costa Rica" 0
"665" "2009" "Costa Rica" 0
"666" "2010" "Costa Rica" 0
"667" "1992" "Croatia" 4
"668" "1994" "Croatia" 4
"669" "1995" "Croatia" 1
"670" "1996" "Croatia" 3
"671" "1997" "Croatia" 8
"672" "1998" "Croatia" 0
"673" "1999" "Croatia" 0
"674" "2000" "Croatia" 2
"675" "2001" "Croatia" 3
"676" "2002" "Croatia" 0
"677" "2003" "Croatia" 0
"678" "2004" "Croatia" 0
"679" "2005" "Croatia" 1
"680" "2006" "Croatia" 0
"681" "2007" "Croatia" 0
"682" "2008" "Croatia" 2
"683" "2009" "Croatia" 1
"684" "2010" "Croatia" 0
"685" "1992" "Cuba" 4
"686" "1994" "Cuba" 9
"687" "1995" "Cuba" 0
"688" "1996" "Cuba" 1
"689" "1997" "Cuba" 14
"690" "1998" "Cuba" 0
"691" "1999" "Cuba" 0
"692" "2000" "Cuba" 0
"693" "2001" "Cuba" 0
"694" "2002" "Cuba" 0
"695" "2003" "Cuba" 0
"696" "2004" "Cuba" 0
"697" "2005" "Cuba" 0
"698" "2006" "Cuba" 0
"699" "2007" "Cuba" 1
"700" "2008" "Cuba" 0
"701" "2009" "Cuba" 0
"702" "2010" "Cuba" 0
"703" "1992" "Cyprus" 6
"704" "1994" "Cyprus" 6
"705" "1995" "Cyprus" 3
"706" "1996" "Cyprus" 10
"707" "1997" "Cyprus" 0
"708" "1998" "Cyprus" 1
"709" "1999" "Cyprus" 1
"710" "2000" "Cyprus" 2
"711" "2001" "Cyprus" 1
"712" "2002" "Cyprus" 0
"713" "2003" "Cyprus" 0
"714" "2004" "Cyprus" 1
"715" "2005" "Cyprus" 0
"716" "2006" "Cyprus" 0
"717" "2007" "Cyprus" 1
"718" "2008" "Cyprus" 0
"719" "2009" "Cyprus" 0
"720" "2010" "Cyprus" 0
"721" "1992" "Czech Republic" 0
"722" "1994" "Czech Republic" 1
"723" "1995" "Czech Republic" 3
"724" "1996" "Czech Republic" 3
"725" "1997" "Czech Republic" 4
"726" "1998" "Czech Republic" 0
"727" "1999" "Czech Republic" 0
"728" "2000" "Czech Republic" 0
"729" "2001" "Czech Republic" 1
"730" "2002" "Czech Republic" 0
"731" "2003" "Czech Republic" 1
"732" "2004" "Czech Republic" 0
"733" "2005" "Czech Republic" 0
"734" "2006" "Czech Republic" 0
"735" "2007" "Czech Republic" 0
"736" "2008" "Czech Republic" 2
"737" "2009" "Czech Republic" 1
"738" "2010" "Czech Republic" 0
"739" "1992" "Czechoslovakia" 3
"740" "1994" "Czechoslovakia" 0
"741" "1995" "Czechoslovakia" 0
"742" "1996" "Czechoslovakia" 0
"743" "1997" "Czechoslovakia" 0
"744" "1998" "Czechoslovakia" 0
"745" "1999" "Czechoslovakia" 0
"746" "2000" "Czechoslovakia" 0
"747" "2001" "Czechoslovakia" 0
"748" "2002" "Czechoslovakia" 0
"749" "2003" "Czechoslovakia" 0
"750" "2004" "Czechoslovakia" 0
"751" "2005" "Czechoslovakia" 0
"752" "2006" "Czechoslovakia" 0
"753" "2007" "Czechoslovakia" 0
"754" "2008" "Czechoslovakia" 0
"755" "2009" "Czechoslovakia" 0
"756" "2010" "Czechoslovakia" 0
"757" "1992" "Democratic Republic of the Congo" 0
"758" "1994" "Democratic Republic of the Congo" 0
"759" "1995" "Democratic Republic of the Congo" 0
"760" "1996" "Democratic Republic of the Congo" 0
"761" "1997" "Democratic Republic of the Congo" 1
"762" "1998" "Democratic Republic of the Congo" 4
"763" "1999" "Democratic Republic of the Congo" 3
"764" "2000" "Democratic Republic of the Congo" 3
"765" "2001" "Democratic Republic of the Congo" 4
"766" "2002" "Democratic Republic of the Congo" 7
"767" "2003" "Democratic Republic of the Congo" 6
"768" "2004" "Democratic Republic of the Congo" 5
"769" "2005" "Democratic Republic of the Congo" 4
"770" "2006" "Democratic Republic of the Congo" 5
"771" "2007" "Democratic Republic of the Congo" 11
"772" "2008" "Democratic Republic of the Congo" 20
"773" "2009" "Democratic Republic of the Congo" 54
"774" "2010" "Democratic Republic of the Congo" 18
"775" "1992" "Denmark" 4
"776" "1994" "Denmark" 0
"777" "1995" "Denmark" 6
"778" "1996" "Denmark" 0
"779" "1997" "Denmark" 0
"780" "1998" "Denmark" 0
"781" "1999" "Denmark" 1
"782" "2000" "Denmark" 0
"783" "2001" "Denmark" 0
"784" "2002" "Denmark" 0
"785" "2003" "Denmark" 0
"786" "2004" "Denmark" 0
"787" "2005" "Denmark" 0
"788" "2006" "Denmark" 0
"789" "2007" "Denmark" 0
"790" "2008" "Denmark" 1
"791" "2009" "Denmark" 0
"792" "2010" "Denmark" 1
"793" "1992" "Djibouti" 6
"794" "1994" "Djibouti" 2
"795" "1995" "Djibouti" 2
"796" "1996" "Djibouti" 0
"797" "1997" "Djibouti" 1
"798" "1998" "Djibouti" 0
"799" "1999" "Djibouti" 0
"800" "2000" "Djibouti" 0
"801" "2001" "Djibouti" 0
"802" "2002" "Djibouti" 0
"803" "2003" "Djibouti" 0
"804" "2004" "Djibouti" 1
"805" "2005" "Djibouti" 0
"806" "2006" "Djibouti" 0
"807" "2007" "Djibouti" 0
"808" "2008" "Djibouti" 0
"809" "2009" "Djibouti" 0
"810" "2010" "Djibouti" 0
"811" "1992" "Dominica" 0
"812" "1994" "Dominica" 0
"813" "1995" "Dominica" 0
"814" "1996" "Dominica" 0
"815" "1997" "Dominica" 1
"816" "1998" "Dominica" 0
"817" "1999" "Dominica" 0
"818" "2000" "Dominica" 0
"819" "2001" "Dominica" 0
"820" "2002" "Dominica" 0
"821" "2003" "Dominica" 0
"822" "2004" "Dominica" 0
"823" "2005" "Dominica" 0
"824" "2006" "Dominica" 0
